N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
106,HD현대일렉트릭,"74,000",500,-0.67%,"5,000","26,675","36,047",17.87,"292,042",12.47,22.13,
107,롯데지주,"25,300",700,-2.69%,200,"26,542","104,909",6.82,"104,968",100.80,2.42,
108,LS,"81,800","2,500",-2.97%,"5,000","26,340","32,200",12.16,"185,273",6.11,12.00,
109,GS리테일,"23,850",750,-3.05%,"1,000","24,975","104,718",7.25,"238,128",49.90,1.00,
110,현대차우,"101,000","1,700",-1.66%,"5,000","24,354","24,113",61.45,"44,194",2.93,N/A,
111,한화생명,"2,765",45,-1.60%,"5,000","24,015","868,530",9.44,"1,493,104",2.34,9.05,
112,CJ,"80,400","1,600",-1.95%,"5,000","23,458","29,177",11.96,"120,910",92.41,3.94,
113,TIGER 미국나스닥100,"86,490","1,995",-2.25%,0,"23,396","27,050",0.03,"130,601",N/A,N/A,
114,영원무역,"52,400","1,900",-3.50%,500,"23,219","44,311",29.26,"83,023",3.34,26.80,
115,아모레G,"28,000",150,-0.53%,500,"23,088","82,458",9.05,"302,464",31.11,1.87,
116,TIGER 200,"31,065",830,-2.60%,0,"23,004","74,050",6.70,"1,106,951",N/A,N/A,
117,제일기획,"19,990",210,-1.04%,200,"22,997","115,041",26.64,"320,340",11.94,16.64,
118,BGF리테일,"131,700","1,400",-1.05%,"1,000","22,763","17,284",34.68,"62,874",11.53,21.85,
119,팬오션,"4,235",205,-4.62%,"1,000","22,639","534,570",13.24,"2,788,381",4.58,16.74,
120,BNK금융지주,"7,000",40,-0.57%,"5,000","22,546","322,088",34.59,"570,650",3.01,8.43,
121,TIGER KOFR금리액티브(합성),"103,220",15,+0.01%,0,"22,447","21,747",0.00,"13,709",N/A,N/A,
122,한화시스템,"11,840",610,-4.90%,"5,000","22,368","188,919",4.72,"833,573",10.16,-3.63,
123,KODEX 레버리지,"13,830",760,-5.21%,0,"22,163","160,250",0.65,"22,101,135",N/A,N/A,
124,휠라홀딩스,"36,300",750,-2.02%,"1,000","22,053","60,752",43.03,"136,523",8.89,19.71,
125,한미사이언스,"31,400",200,-0.63%,500,"21,966","69,957",1.68,"97,853",24.98,9.78,
126,LS ELECTRIC,"72,000","3,200",-4.26%,"5,000","21,600","30,000",18.41,"166,166",14.07,5.95,
127,두산로보틱스,"33,250","1,850",-5.27%,500,"21,553","64,820",2.33,"628,616",-128.38,N/A,
128,DB하이텍,"48,350","3,350",-6.48%,"5,000","21,467","44,399",19.92,"494,484",5.44,40.73,
129,에스원,"56,100",300,-0.53%,500,"21,318","37,999",54.34,"34,602",13.40,10.19,
130,LG화학우,"276,500","17,000",-5.79%,"5,000","21,260","7,689",57.26,"98,509",14.46,N/A,
131,한국가스공사,"23,000",350,-1.50%,"5,000","21,232","92,313",4.98,"180,043",3.13,15.67,
132,TIGER 차이나전기차SOLACTIVE,"8,200",15,-0.18%,0,"21,189","258,400",0.43,"2,413,726",N/A,N/A,
133,한전기술,"53,900","1,600",-2.88%,200,"20,601","38,220",3.91,"117,749",58.91,3.40,
134,키움증권,"78,200","2,500",-3.10%,"5,000","20,509","26,227",24.54,"344,239",3.33,11.50,
135,롯데쇼핑,"71,900","1,200",-1.64%,"5,000","20,340","28,289",8.49,"37,220",-8.74,-3.30,
136,씨에스윈드,"48,150","2,450",-4.84%,500,"20,306","42,171",12.05,"198,552",78.04,-0.11,
137,이마트,"72,800","1,300",-1.75%,"5,000","20,294","27,876",25.12,"80,175",10.02,9.59,
138,JB금융지주,"10,160",110,-1.07%,"5,000","20,013","196,983",33.57,"559,492",3.30,13.76,
139,KCC,"222,500","7,500",-3.26%,"5,000","19,772","8,886",12.23,"12,663",-46.04,0.67,
140,TIGER 미국S&P500,"14,170",155,-1.08%,0,"19,448","137,250",0.00,"599,158",N/A,N/A,
141,LIG넥스원,"88,000","1,400",-1.57%,"5,000","19,360","22,000",13.91,"182,095",15.08,14.48,
